component,manuscript_output,analysis_entry,input_role,verification_class,aggregate_contract,notes
primary mixed models,Table 2 and Figure 3,analysis/02_primary_mixed_models.R,current_primary_longitudinal,current-runtime exact with manuscript rounding,results/expected/primary_model3.csv,Scaled parameterization is used for convergence; display precision is recorded in manuscript_key_results.csv
limited external replication,Figure S8 and Table S13,analysis/03_external_validation.R,external_longitudinal,current-runtime exact,results/expected/weighted_and_external.csv,External data are analyzed separately and only for fluid-intake replication
RCS,Figure 4 Figure S9 and Table S14,analysis/04_rcs_dose_response.R,manuscript_aipw_and_rcs_longitudinal,exact deterministic rerun,results/manuscript_release_v2/rcs.csv,Set rcs_manuscript_long in the local configuration
MSM-IPTW,Table 3,analysis/05_msm_iptw.R,current_primary_longitudinal,current-runtime exact,results/expected/weighted_and_external.csv,Study-specific median contrast
AIPW,Table 3,release/01_manuscript_aipw.R,manuscript_aipw_weights plus manuscript_aipw_and_rcs_longitudinal,exact deterministic rerun,results/manuscript_release_v2/aipw.csv,Uses seed 123 and 1000 patient-cluster bootstrap resamples
time-window heterogeneity,Figure 5 and Table 4,release/02_manuscript_time_window.R,current_primary_longitudinal,archived exact document output plus runtime concordance,results/manuscript_release_v2/time_window.csv,Historical display intervals omit the main-interaction covariance; a full-covariance companion is emitted
equal two-day lags,Table S28,analysis/08_equal_lag_sensitivity.R,equal_lag_longitudinal,current-runtime exact,results/expected/equal_lag.csv,Complete-case estimates are the primary equal-lag sensitivity
mediation,Figure 6 Table 5 and Table S29,analysis/09_mediation_mi_rubin.R,mediation_patient,current-runtime exact,results/expected/mediation.csv,All 20 completed datasets are pooled using Rubin's rules
Model 3 multiple imputation,sensitivity table,analysis/14_model3_multiple_imputation.R,dedicated pre-imputation freeze,current-runtime exact,results/expected/model3_mi.csv,Separate adjudicated pre-imputation freeze required
other revision sensitivities,supplementary sensitivity tables,analysis/10-15,revision-specific freezes,current-runtime exact where enabled,results/expected/revision_sensitivities.csv,See data contract and analysis crosswalk
